iter	Passed	Remaining
1292	283380	812444
1293	283598	812222
1294	283858	812120
1295	284083	811917
1296	284294	811673
1297	284501	811421
1298	284734	811241
1299	284956	811028
1300	285165	810781
1301	285388	810573
1302	285626	810406
1303	285834	810157
1304	286056	809944
1305	286284	809751
1306	286516	809567
1307	286763	809428
1308	286967	809164
1309	287181	808931
1310	287412	808744
1311	287614	808478
1312	287831	808250
1313	288044	808014
1314	288248	807752
1315	288495	807612
1316	288723	807416
1317	288931	807166
1318	289163	806983
1319	289370	806729
1320	289612	806573
1321	289836	806367
1322	290051	806137
1323	290272	805922
1324	290486	805688
1325	290719	805508
1326	290954	805333
1327	291168	805098
1328	291387	804877
1329	291605	804655
1330	291810	804397
1331	292019	804149
1332	292242	803939
1333	292443	803671
1334	292653	803427
1335	292854	803158
1336	293073	802937
1337	293319	802791
1338	293529	802546
1339	293751	802337
1340	293992	802176
1341	294200	801925
1342	294442	801768
1343	294654	801531
1344	294885	801343
1345	295119	801165
1346	295353	800985
1347	295631	800924
1348	295856	800720
1349	296087	800532
1350	296340	800404
1351	296572	800220
1352	296835	800117
1353	297089	799991
1354	297386	799981
1355	297677	799952
1356	297904	799754
1357	298161	799635
1358	298440	799574
1359	298706	799479
1360	298939	799294
1361	299186	799147
1362	299468	799095
1363	299724	798972
1364	299954	798781
1365	300220	798682
1366	300455	798503
1367	300710	798377
1368	300957	798229
1369	301206	798086
1370	301451	797935
1371	301699	797789
1372	301932	797602
1373	302161	797407
1374	302377	797177
1375	302655	797110
1376	302900	796956
1377	303134	796773
1378	303360	796569
1379	303582	796353
1380	303829	796205
1381	304038	795956
1382	304239	795687
1383	304483	795528
1384	304691	795277
1385	304897	795022
1386	305105	794770
1387	305343	794596
1388	305563	794378
1389	305815	794240
1390	306025	793995
1391	306226	793724
1392	306444	793499
1393	306650	793244
1394	306906	793116
1395	307124	792892
1396	307366	792728
1397	307588	792513
1398	307817	792316
1399	308050	792128
1400	308269	791906
1401	308506	791731
1402	308725	791506
1403	308936	791264
1404	309158	791048
1405	309370	790809
1406	309579	790560
1407	309785	790305
1408	310029	790146
1409	310255	789941
